,material,vbm_cubic,cbm_cubic,vbm_k_pbe,cbm_k_pbe,gap_cubic,vbm_I4,cbm_I4,angle_0,gap_I4,vbm_pnma,cbm_pnma,angle_a,angle_c,gap_pnma,gap_cubic_I4,vb_cubic_I4,cb_cubic_I4,gap_cubic_pnma,vb_cubic_pnma,cb_cubic_pnma
78,NaVO,1.6155,2.5747,20,1,0.9592,1.6607,2.6847,161.5674812875413,1.0239999999999998,1.4502,2.7258,164.171398435627,163.40997427943066,1.2756,0.06479999999999975,0.04520000000000013,0.10999999999999988,0.3164,-0.1653,0.1511
79,PbGeO,6.2447,7.1212,4,1,0.8765000000000001,6.2593,7.1208,179.99484894372432,0.8615000000000004,6.26,7.1268,179.86582928320664,38.89365435001911,0.8668000000000005,0.01499999999999968,0.014599999999999724,-0.00039999999999995595,0.009699999999999598,0.01529999999999987,0.005600000000000271
80,PbHfO,3.5509,7.1035,4,4,3.5526000000000004,4.063,7.2854,158.07841393908987,3.2224000000000004,4.1282,7.8917,159.31964798242362,159.0551094060651,3.7635000000000005,0.33020000000000005,0.5120999999999998,0.18189999999999973,0.2109000000000001,0.5772999999999997,0.7881999999999998
81,PbSiO,8.1752,10.9603,4,1,2.7851,8.1823,10.9622,179.99828431047092,2.7798999999999996,8.1711,10.9716,179.9927591234032,179.99299399775313,2.8005000000000013,0.0052000000000003155,0.00709999999999944,0.0018999999999991246,0.015400000000001413,-0.004100000000001103,0.01130000000000031
82,PbSnO,5.249,8.4095,4,1,3.1605,5.7679,8.6996,156.6800981599691,2.9317,5.9694,8.7573,157.72968333286389,157.62793927013402,2.7879000000000005,0.22879999999999967,0.5189000000000004,0.2901000000000007,0.3725999999999994,0.7204000000000006,0.3478000000000012
83,PbTiO,5.2745,7.9255,4,1,2.6510000000000007,5.3083,7.9147,174.35917280642468,2.6064,5.3659,7.907,172.65854294879003,170.0753530269503,2.5411,0.04460000000000086,0.033800000000000274,-0.010800000000000587,0.10990000000000055,0.09140000000000015,-0.018500000000000405
84,PbZrO,4.7543,8.2613,4,4,3.5070000000000006,5.4189,8.5266,155.29550475481858,3.1077000000000004,5.4866,9.2385,156.61414820506823,156.78120550453662,3.7519,0.3993000000000002,0.6646000000000001,0.26529999999999987,0.24489999999999945,0.7323000000000004,0.9771999999999998
85,RbAsO,1.8265,1.4207,20,1,-0.40579999999999994,1.0669,1.65,179.99941109481273,0.5831,0.5514,2.2359999999999998,168.7679519677236,159.04070643907832,1.6845999999999997,0.9888999999999999,-0.7596,0.22929999999999984,2.0904,-1.2751000000000001,0.8152999999999997
86,RbNbO,0.5921,3.2155,20,1,2.6234,0.5934,3.217,179.98121947627902,2.6236,0.5942,3.2173,179.99296488732898,38.94499281272848,2.6231,0.00019999999999997797,0.0013000000000000789,0.0015000000000000568,0.000300000000000189,0.0020999999999999908,0.0017999999999998018
87,RbPO,,,0,0,,1.8904,3.5503,179.99929046478627,1.6599,1.1444,3.8754,164.2411130803007,152.22494815330523,2.731,,,,,,
88,RbSbO,2.6082,2.1139,20,1,-0.49429999999999996,2.6041,2.5571,179.96002406321472,-0.04699999999999971,2.6388,2.6475,179.97622616293575,179.96862333266898,0.008700000000000152,0.44730000000000025,-0.004100000000000215,0.44320000000000004,0.5030000000000001,0.03059999999999974,0.5335999999999999
89,RbTaO,0.8213,4.236000000000001,20,1,3.4147000000000007,0.8238,4.2354,179.99481808810881,3.4116000000000004,0.8308,4.2351,179.98495007881058,38.942813670758746,3.4043,0.0031000000000003247,0.0024999999999999467,-0.000600000000000378,0.010400000000000631,0.009499999999999953,-0.000900000000000567
90,RbVO,1.2990000000000002,2.2905,20,1,0.9915,1.2721,2.3245,179.99743265679143,1.0524,0.9737,2.6845,179.99322041549166,38.40760375068884,1.7107999999999999,0.060899999999999954,-0.026900000000000146,0.03399999999999981,0.7192999999999998,-0.32530000000000014,0.3939999999999997
91,ScAlO,5.3337,8.2028,20,1,2.8690999999999995,4.8855,8.699,146.52588103133485,3.8134999999999994,4.115,10.7661,142.55218078535538,140.57990401952074,6.6511,0.9443999999999999,-0.44819999999999993,0.4962,3.782,-1.2187000000000001,2.5633
92,ScGaO,4.0613,6.7772,20,1,2.7158999999999995,4.7045,6.8369,142.25073472167946,2.1323999999999996,3.0728,9.2641,138.17485846760846,134.8594304769116,6.191299999999999,0.5834999999999999,0.6432000000000002,0.05970000000000031,3.4753999999999996,-0.9885000000000002,2.4868999999999994
93,ScInO,4.3825,5.6534,20,1,1.2709000000000001,5.2931,6.4772,135.82765360595158,1.1841,3.7289,8.1796,129.7876643754608,127.00096411712688,4.450700000000001,0.08680000000000021,0.9105999999999996,0.8237999999999994,3.179800000000001,-0.6536000000000004,2.5262000000000002
94,ScTlO,4.8077,4.6877,20,1,-0.11999999999999922,5.4079,5.1013,118.17183365950649,-0.30659999999999954,3.5151,5.4567,121.96573049470335,125.67420956596236,1.9415999999999998,0.18660000000000032,0.6002000000000001,0.41359999999999975,2.061599999999999,-1.2925999999999997,0.7689999999999992
